path,tenant,owner,confidentiality,effective_from,effective_to,source_url,description
documents/sec_msft_2025-07-30_10k.md,default,sec-filings,public,2025-07-30,,https://www.sec.gov/Archives/edgar/data/789019/000095017025100235/msft-20250630.htm,"Latest 10-K filing for Microsoft Corporation, normalized from SEC EDGAR HTML."
documents/sec_aapl_2025-10-31_10k.md,default,sec-filings,public,2025-10-31,,https://www.sec.gov/Archives/edgar/data/320193/000032019325000079/aapl-20250927.htm,"Latest 10-K filing for Apple Inc., normalized from SEC EDGAR HTML."
documents/sec_nvda_2026-02-25_10k.md,default,sec-filings,public,2026-02-25,,https://www.sec.gov/Archives/edgar/data/1045810/000104581026000021/nvda-20260125.htm,"Latest 10-K filing for NVIDIA Corporation, normalized from SEC EDGAR HTML."
documents/sec_amzn_2026-02-06_10k.md,default,sec-filings,public,2026-02-06,,https://www.sec.gov/Archives/edgar/data/1018724/000101872426000004/amzn-20251231.htm,"Latest 10-K filing for Amazon.com, Inc., normalized from SEC EDGAR HTML."
documents/sec_googl_2026-02-05_10k.md,default,sec-filings,public,2026-02-05,,https://www.sec.gov/Archives/edgar/data/1652044/000165204426000018/goog-20251231.htm,"Latest 10-K filing for Alphabet Inc., normalized from SEC EDGAR HTML."
documents/sec_meta_2026-01-29_10k.md,default,sec-filings,public,2026-01-29,,https://www.sec.gov/Archives/edgar/data/1326801/000162828026003942/meta-20251231.htm,"Latest 10-K filing for Meta Platforms, Inc., normalized from SEC EDGAR HTML."
documents/sec_tsla_2026-01-29_10k.md,default,sec-filings,public,2026-01-29,,https://www.sec.gov/Archives/edgar/data/1318605/000162828026003952/tsla-20251231.htm,"Latest 10-K filing for Tesla, Inc., normalized from SEC EDGAR HTML."
documents/sec_jpm_2026-02-13_10k.md,default,sec-filings,public,2026-02-13,,https://www.sec.gov/Archives/edgar/data/19617/000162828026008131/jpm-20251231.htm,"Latest 10-K filing for JPMorgan Chase & Co., normalized from SEC EDGAR HTML."
documents/sec_wmt_2026-03-13_10k.md,default,sec-filings,public,2026-03-13,,https://www.sec.gov/Archives/edgar/data/104169/000010416926000055/wmt-20260131.htm,"Latest 10-K filing for Walmart Inc., normalized from SEC EDGAR HTML."
documents/sec_xom_2026-02-18_10k.md,default,sec-filings,public,2026-02-18,,https://www.sec.gov/Archives/edgar/data/34088/000003408826000045/xom-20251231.htm,"Latest 10-K filing for Exxon Mobil Corporation, normalized from SEC EDGAR HTML."
documents/sec_unh_2026-03-02_10k.md,default,sec-filings,public,2026-03-02,,https://www.sec.gov/Archives/edgar/data/731766/000073176626000062/unh-20251231.htm,"Latest 10-K filing for UnitedHealth Group Incorporated, normalized from SEC EDGAR HTML."
documents/sec_jnj_2026-02-11_10k.md,default,sec-filings,public,2026-02-11,,https://www.sec.gov/Archives/edgar/data/200406/000020040626000016/jnj-20251228.htm,"Latest 10-K filing for Johnson & Johnson, normalized from SEC EDGAR HTML."
documents/sec_pg_2025-08-04_10k.md,default,sec-filings,public,2025-08-04,,https://www.sec.gov/Archives/edgar/data/80424/000008042425000076/pg-20250630.htm,"Latest 10-K filing for The Procter & Gamble Company, normalized from SEC EDGAR HTML."
